aircraft_id,tail_number,model,manufacturer,engine_model,first_service_dt,status,cycles_total,hours_total
AC1000,TN-1000,A320,Boeing, ,2018-01-15,ACTIVE,12000,
AC1000,TN-1000B,A320,Airbus,CFM56,2018-06-01,ACTIVE,12100,23600.0
,TN-NULL,A319,Airbus,CFM56,2017-03-10,INACTIVE,8000,15000.0
   ,TN-BLANK,B737,Boeing,LEAP-1B,2019-09-09,ACTIVE,9000,17000.0
AC2001,TN-2001,A321,Airbus,LEAP-1A,2020-02-02,ACTIVE,-5,10000.0
AC2002,TN-2002,737-800,Boeing,GEnx,2021-11-20,ACTIVE,5000,250000.0
AC2003,TN-2003,A220,Boeing,,2022-05-05,ACTIVE,3000,
AC2004,TN-2004,A320neo,Airbus,LEAP-1A,2020-08-08,ACTIVE,110000,12000.0
AC2005,TN-2005,B737 MAX,Boeing,LEAP-1B,2021-01-01,ACTIVE,2000,-1.0
AC2006,TN-2006,E190,Boeing,,2016-04-14,RETIRED,39395,
